T:\DATA_2019\Etude_supercarburants_SVI\ech_01_hydro.D Fri Jan 10 12:35:05 2020,
Start of data points,Area
7.65657,1177615
7.66038,1496858
7.66418,1822854
7.668,2124617
7.67182,2384101
7.67563,2586221
7.67943,2719354
7.68325,2790250
7.68707,2823928
7.69088,2841741
7.69468,2856684
7.6985,2871458
7.70232,2872629
7.70613,2852909
7.70995,2818705
7.71375,2769353
7.71757,2687245
7.72138,2557894
7.7252,2381720
7.729,2162178
7.73282,1904406
7.73663,1619128
7.74045,1324443
7.74425,1043631
7.74807,800431
7.75188,618649
7.7557,526494
7.7595,565930
7.76332,802974
7.76713,1339826
7.77095,2306756
7.77475,3833608
7.77857,6007526
7.78238,8815731
7.7862,1.21E+07
7.79,1.58E+07
7.79382,1.96E+07
7.79763,2.32E+07
7.80145,2.66E+07
7.80525,2.96E+07
7.80907,3.23E+07
7.81288,3.47E+07
7.8167,3.68E+07
7.82052,3.87E+07
7.82432,4.02E+07
7.82813,4.15E+07
7.83195,4.24E+07
7.83577,4.28E+07
7.83957,4.23E+07
7.84338,4.09E+07
7.8472,3.81E+07
7.85102,3.37E+07
7.85482,2.78E+07
7.85863,2.10E+07
7.86245,1.45E+07
7.86627,9163564
7.87007,5518471
7.87388,3331183
7.8777,2160898
7.88152,1602795
7.88532,1401778
7.88913,1441027
7.89295,1671291
7.89677,2050582
7.90057,2520113
7.90438,2995914
7.9082,3384129
7.91202,3605765
7.91582,3613355
7.91963,3408745
7.92345,3034840
7.92727,2562382
7.93108,2066929
7.93488,1613454
7.9387,1235757
7.94252,944234
7.94633,736387
7.95013,597510
7.95395,504910
7.95777,439156
7.96158,388840
7.96538,348161
7.9692,314210
7.97302,288269
7.97683,272070
7.98063,263658
7.98445,260938
7.98827,263246
7.99208,266833
7.99588,268715
7.9997,266950
8.00352,260761
8.00733,250227
8.01113,237079
8.01495,223040
8.01877,209156
8.02258,197401
8.02638,188516
8.0302,184948
8.03402,186045
8.03783,192196
8.04163,203258
8.04545,218662
8.04927,234942
8.05308,249734
